max_depth	min_split	min_bucket	min_cp	ganancia_promedio
8	20	100	-0.5	65664667
8	20	50	-0.5	66341333
8	20	20	-0.5	61852000
8	20	10	-0.5	67400667
8	10	1000	-0.5	65221333
8	10	700	-0.5	62715333
8	10	400	-0.5	65188667
8	10	100	-0.5	65664667
8	10	50	-0.5	66341333
8	10	20	-0.5	61852000
8	10	10	-0.5	67400667
10	1000	1000	-0.5	65221333
10	1000	700	-0.5	62715333
10	1000	400	-0.5	64390667
10	1000	100	-0.5	65310000
10	1000	50	-0.5	66999333
10	1000	20	-0.5	66490667
10	1000	10	-0.5	68861333
10	800	1000	-0.5	65221333
10	800	700	-0.5	62715333
10	800	400	-0.5	63616000
10	800	100	-0.5	65594667
10	800	50	-0.5	66901333
10	800	20	-0.5	65795333
10	800	10	-0.5	69192667
10	600	1000	-0.5	65221333
10	600	700	-0.5	62715333
10	600	400	-0.5	63616000
10	600	100	-0.5	66602667
10	600	50	-0.5	64960000
10	600	20	-0.5	63364000
10	600	10	-0.5	68254667
10	400	1000	-0.5	65221333
10	400	700	-0.5	62715333
10	400	400	-0.5	63616000
10	400	100	-0.5	64684667
10	400	50	-0.5	65039333
10	400	20	-0.5	62617333
10	400	10	-0.5	66588667
10	200	1000	-0.5	65221333
10	200	700	-0.5	62715333
10	200	400	-0.5	63616000
10	200	100	-0.5	63364000
10	200	50	-0.5	60979333
10	200	20	-0.5	59154667
10	200	10	-0.5	62211333
10	100	1000	-0.5	65221333
10	100	700	-0.5	62715333
10	100	400	-0.5	63616000
10	100	100	-0.5	63364000
10	100	50	-0.5	62393333
10	100	20	-0.5	58263333
10	100	10	-0.5	62976667
10	50	1000	-0.5	65221333
10	50	700	-0.5	62715333
10	50	400	-0.5	63616000
10	50	100	-0.5	63364000
10	50	50	-0.5	62393333
10	50	20	-0.5	55290667
10	50	10	-0.5	59220000
10	20	1000	-0.5	65221333
10	20	700	-0.5	62715333
10	20	400	-0.5	63616000
10	20	100	-0.5	63364000
10	20	50	-0.5	62393333
10	20	20	-0.5	54175333
10	20	10	-0.5	54525333
10	10	1000	-0.5	65221333
10	10	700	-0.5	62715333
10	10	400	-0.5	63616000
10	10	100	-0.5	63364000
10	10	50	-0.5	62393333
10	10	20	-0.5	54175333
10	10	10	-0.5	54525333
12	1000	1000	-0.5	65221333
12	1000	700	-0.5	62715333
12	1000	400	-0.5	64390667
12	1000	100	-0.5	64012667
12	1000	50	-0.5	65529333
12	1000	20	-0.5	65226000
12	1000	10	-0.5	68250000
12	800	1000	-0.5	65221333
12	800	700	-0.5	62715333
12	800	400	-0.5	63616000
12	800	100	-0.5	64064000
12	800	50	-0.5	65720667
12	800	20	-0.5	65403333
12	800	10	-0.5	67624667
12	600	1000	-0.5	65221333
12	600	700	-0.5	62715333
12	600	400	-0.5	63616000
12	600	100	-0.5	64526000
12	600	50	-0.5	62958000
12	600	20	-0.5	62967333
12	600	10	-0.5	65706667
12	400	1000	-0.5	65221333
12	400	700	-0.5	62715333
12	400	400	-0.5	63616000
12	400	100	-0.5	61301333
12	400	50	-0.5	61138000
12	400	20	-0.5	60722667
12	400	10	-0.5	62668667
12	200	1000	-0.5	65221333
12	200	700	-0.5	62715333
12	200	400	-0.5	63616000
12	200	100	-0.5	59612000
12	200	50	-0.5	55832000
12	200	20	-0.5	56210000
12	200	10	-0.5	59509333
12	100	1000	-0.5	65221333
12	100	700	-0.5	62715333
12	100	400	-0.5	63616000
12	100	100	-0.5	59612000
12	100	50	-0.5	53144000
12	100	20	-0.5	55202000
12	100	10	-0.5	59397333
12	50	1000	-0.5	65221333
12	50	700	-0.5	62715333
12	50	400	-0.5	63616000
12	50	100	-0.5	59612000
12	50	50	-0.5	53144000
12	50	20	-0.5	50983333
12	50	10	-0.5	55612667
12	20	1000	-0.5	65221333
12	20	700	-0.5	62715333
12	20	400	-0.5	63616000
12	20	100	-0.5	59612000
12	20	50	-0.5	53144000
12	20	20	-0.5	50120000
12	20	10	-0.5	50460667
12	10	1000	-0.5	65221333
12	10	700	-0.5	62715333
12	10	400	-0.5	63616000
12	10	100	-0.5	59612000
12	10	50	-0.5	53144000
12	10	20	-0.5	50120000
12	10	10	-0.5	50460667
14	1000	1000	-0.5	65221333
14	1000	700	-0.5	62715333
14	1000	400	-0.5	64390667
14	1000	100	-0.5	63835333
14	1000	50	-0.5	64428000
14	1000	20	-0.5	62790000
14	1000	10	-0.5	65753333
14	800	1000	-0.5	65221333
14	800	700	-0.5	62715333
14	800	400	-0.5	63616000
14	800	100	-0.5	63886667
14	800	50	-0.5	64264667
14	800	20	-0.5	62150667
14	800	10	-0.5	64269333
14	600	1000	-0.5	65221333
14	600	700	-0.5	62715333
14	600	400	-0.5	63616000
14	600	100	-0.5	64283333
14	600	50	-0.5	60988667
14	600	20	-0.5	59383333
14	600	10	-0.5	61814667
14	400	1000	-0.5	65221333
14	400	700	-0.5	62715333
14	400	400	-0.5	63616000
14	400	100	-0.5	59920000
14	400	50	-0.5	58786000
14	400	20	-0.5	57096667
14	400	10	-0.5	58426667
14	200	1000	-0.5	65221333
14	200	700	-0.5	62715333
14	200	400	-0.5	63616000
14	200	100	-0.5	58524667
14	200	50	-0.5	51604000
14	200	20	-0.5	50647333
14	200	10	-0.5	53783333
14	100	1000	-0.5	65221333
14	100	700	-0.5	62715333
14	100	400	-0.5	63616000
14	100	100	-0.5	58524667
14	100	50	-0.5	47852000
14	100	20	-0.5	50353333
14	100	10	-0.5	51104667
14	50	1000	-0.5	65221333
14	50	700	-0.5	62715333
14	50	400	-0.5	63616000
14	50	100	-0.5	58524667
14	50	50	-0.5	47852000
14	50	20	-0.5	44912000
14	50	10	-0.5	47390000
14	20	1000	-0.5	65221333
14	20	700	-0.5	62715333
14	20	400	-0.5	63616000
14	20	100	-0.5	58524667
14	20	50	-0.5	47852000
14	20	20	-0.5	44828000
14	20	10	-0.5	39932667
14	10	1000	-0.5	65221333
14	10	700	-0.5	62715333
14	10	400	-0.5	63616000
14	10	100	-0.5	58524667
14	10	50	-0.5	47852000
14	10	20	-0.5	44828000
14	10	10	-0.5	39932667
