max_depth	min_split	min_bucket	min_cp	ganancia_promedio
5	800	100	-0.5	71166667
5	800	90	-0.5	69169333
5	800	70	-0.5	69748000
5	800	50	-0.5	69225333
5	700	100	-0.5	71540000
5	700	90	-0.5	69486667
5	700	70	-0.5	70065333
5	700	50	-0.5	69076000
5	600	100	-0.5	70975333
5	600	90	-0.5	68922000
5	600	70	-0.5	69500667
5	600	50	-0.5	68581333
5	500	100	-0.5	70975333
5	500	90	-0.5	68922000
5	500	70	-0.5	69500667
5	500	50	-0.5	68525333
5	400	100	-0.5	70975333
5	400	90	-0.5	68922000
5	400	70	-0.5	69230000
5	400	50	-0.5	68544000
5	300	100	-0.5	70975333
5	300	90	-0.5	68922000
5	300	70	-0.5	69230000
5	300	50	-0.5	68544000
5	200	100	-0.5	70975333
5	200	90	-0.5	68838000
5	200	70	-0.5	69164667
5	200	50	-0.5	68478667
6	800	100	-0.5	70695333
6	800	90	-0.5	70592667
6	800	70	-0.5	71199333
6	800	50	-0.5	70784000
6	700	100	-0.5	70522667
6	700	90	-0.5	70364000
6	700	70	-0.5	70970667
6	700	50	-0.5	69958000
6	600	100	-0.5	70438667
6	600	90	-0.5	70280000
6	600	70	-0.5	70886667
6	600	50	-0.5	69981333
6	500	100	-0.5	70588000
6	500	90	-0.5	70429333
6	500	70	-0.5	71036000
6	500	50	-0.5	69925333
6	400	100	-0.5	71544667
6	400	90	-0.5	71031333
6	400	70	-0.5	71367333
6	400	50	-0.5	70084000
6	300	100	-0.5	71068667
6	300	90	-0.5	70261333
6	300	70	-0.5	70770000
6	300	50	-0.5	69230000
6	200	100	-0.5	70658000
6	200	90	-0.5	69906667
6	200	70	-0.5	70098000
6	200	50	-0.5	68679333
7	800	100	-0.5	69216000
7	800	90	-0.5	68572000
7	800	70	-0.5	68474000
7	800	50	-0.5	69230000
7	700	100	-0.5	68838000
7	700	90	-0.5	68408667
7	700	70	-0.5	67928000
7	700	50	-0.5	68264000
7	600	100	-0.5	68917333
7	600	90	-0.5	68324667
7	600	70	-0.5	67844000
7	600	50	-0.5	68287333
7	500	100	-0.5	69230000
7	500	90	-0.5	68698000
7	500	70	-0.5	68096000
7	500	50	-0.5	68166000
7	400	100	-0.5	70308000
7	400	90	-0.5	69421333
7	400	70	-0.5	68488000
7	400	50	-0.5	69365333
7	300	100	-0.5	68833333
7	300	90	-0.5	67508000
7	300	70	-0.5	68054000
7	300	50	-0.5	68320000
7	200	100	-0.5	68077333
7	200	90	-0.5	66999333
7	200	70	-0.5	67391333
7	200	50	-0.5	67638667
