fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230903 165344	-0.00243928959909434	7999	3995	3	1	5	53074000	289
20230903 165411	-0.0712873506145878	3148	3	7	1	5	67837000	290
20230903 165449	-0.0376984716774373	4766	501	20	1	5	66892000	291
20230903 165526	-0.830908521252656	3571	504	17	1	5	66878000	292
20230903 165604	-0.329427274700782	2271	375	15	1	5	72408000	293
20230903 165646	-0.445967215604479	1241	482	20	1	5	72261000	294
20230903 165702	-0.371109198679518	7617	2	3	1	5	54481000	295
20230903 165718	-0.0786129422787102	6918	3457	3	1	5	55174000	296
20230903 165744	-0.718107819717636	4326	1299	7	1	5	67424000	297
20230903 165808	-0.378070956986688	4073	2031	6	1	5	63168000	298
20230903 165836	-0.67408649098099	718	7	7	1	5	71239000	299
20230903 165903	-0.53536802388121	976	353	6	1	5	74277000	300
20230903 165944	-0.631381128248657	2301	555	20	1	5	69895000	301
20230903 170027	-0.584641345938197	3935	1958	20	1	5	62818000	302
20230903 170102	-0.448288621590517	1249	362	7	1	5	77028000	303
20230903 170146	-0.670302781763603	1462	399	14	1	5	74361000	304
20230903 170227	-0.0779673097668746	2924	607	16	1	5	71771000	305
20230903 170305	-0.361373142618969	2249	1123	15	1	5	68334000	306
20230903 170335	-0.617001583488977	2285	1137	7	1	5	67487000	307
20230903 170352	-0.670378569085643	7999	2427	3	1	5	54096000	308
20230903 170420	-0.402794181110454	7999	3019	20	1	5	54096000	309
20230903 170450	-0.137094082167026	2040	515	7	1	5	71477000	310
20230903 170524	-0.0670754077010957	4546	1023	15	1	5	67424000	311
20230903 170555	-0.826373756910788	7991	2271	20	1	5	54096000	312
20230903 170633	-0.0594605087166876	4152	766	20	1	5	67480000	313
20230903 170709	-0.18619790917785	4098	1101	13	1	5	67424000	314
20230903 170745	-0.592898044761008	3173	1	10	1	5	66164000	315
20230903 170818	-0.609339519828529	4811	1390	20	1	5	66780000	316
20230903 170845	-0.51361084524862	3396	1691	7	1	5	63301000	317
20230903 170917	-0.669823348563663	2841	1417	11	1	5	67858000	318
20230903 170944	-0.811115044857902	6076	3038	20	1	5	52500000	319
20230903 171015	-0.335648339812107	4366	1320	20	1	5	67242000	320
20230903 171043	-0.569544787923531	7999	2285	20	1	5	54096000	321
20230903 171115	-0.670414236222253	4948	922	12	1	5	66073000	322
20230903 171143	-0.65545195777654	7999	3436	11	1	5	55209000	323
20230903 171214	-0.0663626923970177	7993	1793	12	1	5	54096000	324
20230903 171232	-0.0454401109308293	8000	2234	3	1	5	54096000	325
20230903 171306	-0.916932927541634	4442	1438	15	1	5	65569000	326
20230903 171332	-0.0387433500710254	7949	730	6	1	5	54096000	327
20230903 171418	-0.139499385199091	1370	329	16	1	5	73976000	328
20230903 171448	-0.673733307174156	1271	263	7	1	5	75327000	329
20230903 171518	-0.696800758738249	2095	333	7	1	5	74291000	330
								
