Feature	Gain	Cover	Frequency
ccajas_consultas_rank	0.00384147484130291	0.00393009915545554	0.00159632962433043
Master_Fvencimiento_lag_2	0.00383598490642527	0.00275273138957727	0.00631992086645345
Visa_Fvencimiento_lag_1	0.00377562960864193	0.00635924670181926	0.007110484108979
cmobile_app_trx_rank	0.00370313034458937	0.00272279356003645	0.00705739378133687
cliente_antiguedad_lag_2	0.00360793123389935	0.00331909575362061	0.00629554757967229
tmobile_app_rank	0.00359821738411497	0.00560701932379654	0.00634453547290571
mactivos_margen_rank	0.00356385323195207	0.00345569784836068	0.00593815314677231
mrentabilidad_rank	0.00352883076728394	0.00217180285393111	0.00672461395488915
mcuentas_saldo_lag_2	0.00348682946763318	0.00434414048389208	0.00589978331906732
Master_Fvencimiento_lag_1	0.00348260205965225	0.00282854530926499	0.0065009106197789
ccaja_ahorro_rank	0.00346425935566128	0.0107662101744998	0.0020731772944252
cliente_antiguedad_lag_1	0.0034527220552709	0.00348514135860428	0.00608656474449918
Master_Fvencimiento_rank	0.00342540512348314	0.00284888880840193	0.00586503328642883
Master_fechaalta_lag_2	0.00342429449310625	0.00266750816417535	0.00503465229817169
mrentabilidad_lag_2	0.00341989780785307	0.00356534388822321	0.00669758615172588
mcaja_ahorro_lag_2	0.00332638354608099	0.00239225947310769	0.00563988203329198
mactivos_margen_lag_1	0.00331729653524627	0.00265139239028211	0.00587637531097056
Visa_mfinanciacion_limite	0.00326394452175196	0.00526874959373548	0.00485655838089945
mpasivos_margen	0.00325865745528369	0.00235382843700129	0.00535464218205108
mrentabilidad	0.00324510605470081	0.00213327454118036	0.00633488268606169
mprestamos_personales_lag_2	0.00322959913823385	0.00557147340944744	0.00248510997299392
mcaja_ahorro_lag_1	0.00322951108867554	0.00246791901091224	0.00470718150448818
Visa_mfinanciacion_limite_rank	0.00320258151746004	0.00196799864925723	0.00539156409172947
cprestamos_personales_rank	0.00314698751344036	0.00184049041450177	0.00256812393985252
Master_mfinanciacion_limite	0.00314003008923905	0.00256388253336416	0.00457035325097415
mactivos_margen_lag_2	0.00309345625466942	0.0031765715483428	0.00607063764620654
Visa_fechaalta_lag_2	0.00308927206632319	0.0022481306278711	0.00481698195483895
cproductos	0.00308915862416021	0.00592190097491151	0.00290235168432684
